timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1.73352E+12,1591,CreateTransaction,200,OK,Thread Group 1-1,text,TRUE,,619,398,1,1,https://b6vi3gq605.execute-api.ca-central-1.amazonaws.com/dev/transaction/create-expense,1584,0,379
1.73352E+12,871,CreateTask,200,OK,Thread Group 1-1,text,TRUE,,616,330,1,1,https://b6vi3gq605.execute-api.ca-central-1.amazonaws.com/dev/task/create-task,871,0,0
1.73352E+12,415,CreateTransaction,200,OK,Thread Group 1-2,text,TRUE,,619,398,2,2,https://b6vi3gq605.execute-api.ca-central-1.amazonaws.com/dev/transaction/create-expense,415,0,104
1.73352E+12,915,SendAnnouncement,200,OK,Thread Group 1-1,text,TRUE,,621,334,2,2,https://b6vi3gq605.execute-api.ca-central-1.amazonaws.com/dev/notification/send-announcement,914,0,0
1.73352E+12,228,GetSummary,200,OK,Thread Group 1-1,text,TRUE,,640,235,2,2,https://b6vi3gq605.execute-api.ca-central-1.amazonaws.com/dev/transaction/get-summary?id=loadtest1@gmail.com,228,0,0
1.73352E+12,725,CreateTask,200,OK,Thread Group 1-2,text,TRUE,,616,330,2,2,https://b6vi3gq605.execute-api.ca-central-1.amazonaws.com/dev/task/create-task,725,0,0
1.73352E+12,659,SendAnnouncement,200,OK,Thread Group 1-2,text,TRUE,,621,334,2,2,https://b6vi3gq605.execute-api.ca-central-1.amazonaws.com/dev/notification/send-announcement,659,0,0
1.73352E+12,230,GetSummary,200,OK,Thread Group 1-2,text,TRUE,,640,235,2,2,https://b6vi3gq605.execute-api.ca-central-1.amazonaws.com/dev/transaction/get-summary?id=loadtest1@gmail.com,229,0,0
1.73352E+12,1712,CompletedTasks,200,OK,Thread Group 1-1,text,TRUE,,868,237,2,2,https://b6vi3gq605.execute-api.ca-central-1.amazonaws.com/dev/room/get-completed-tasks?frm=loadtest1@gmail.com,1712,0,0
1.73352E+12,311,CreateTransaction,200,OK,Thread Group 1-3,text,TRUE,,619,398,3,3,https://b6vi3gq605.execute-api.ca-central-1.amazonaws.com/dev/transaction/create-expense,311,0,95
1.73352E+12,286,CreateTask,200,OK,Thread Group 1-3,text,TRUE,,616,330,3,3,https://b6vi3gq605.execute-api.ca-central-1.amazonaws.com/dev/task/create-task,285,0,0
1.73352E+12,298,SendAnnouncement,200,OK,Thread Group 1-3,text,TRUE,,621,334,3,3,https://b6vi3gq605.execute-api.ca-central-1.amazonaws.com/dev/notification/send-announcement,298,0,0
1.73352E+12,230,GetSummary,200,OK,Thread Group 1-3,text,TRUE,,644,235,3,3,https://b6vi3gq605.execute-api.ca-central-1.amazonaws.com/dev/transaction/get-summary?id=loadtest1@gmail.com,229,0,0
1.73352E+12,1802,PendingTask,200,OK,Thread Group 1-1,text,TRUE,,6629,235,3,3,https://b6vi3gq605.execute-api.ca-central-1.amazonaws.com/dev/room/get-pending-tasks?frm=loadtest2@gmail.com,1802,0,0
